Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2024-05-28,21:39:08,CNR4710029,Cancelled by Customer,391892,Prime Plus,HSR Layout,Bannerghatta Road,,,1,AC is not working,0,,0,,,,,
2024-05-27,12:27:14,CNR6616414,Success,568281,Prime Sedan,Old Airport Road,Vijayanagar,7.93,3.86,0,,0,,0,,286,14.64,4.4,4
2024-05-17,13:33:49,CNR9163693,Cancelled by Customer,654855,Prime Plus,Jalahalli,Banashankari,,,1,AC is not working,0,,0,,,,,
2024-05-26,00:21:19,CNR4744200,Success,656611,Prime SUV,Sahakara Nagar,Frazer Town,6.35,3.8,0,,0,,0,,117,26.92,4.9,4.1
2024-05-26,15:36:58,CNR2600492,Cancelled by System,560744,Auto,Malleshwaram,New BEL Road,,,0,,0,,0,,,,,
2024-05-18,06:33:36,CNR9841377,Success,568712,Prime Plus,Yelahanka,Sahakara Nagar,3.44,11.78,0,,0,,0,,397,4.26,4,4.2
2024-05-02,20:50:38,CNR5589460,Success,175547,Bike,Hoodi,Yelahanka,4.06,12.5,0,,0,,0,,449,30.48,3.9,4.6
2024-05-27,15:19:16,CNR8156501,Success,540533,Mini,Banashankari,Indiranagar,4.79,11.49,0,,0,,0,,411,31.88,4.3,4.8
2024-05-06,23:40:11,CNR7409724,Cancelled by System,808162,Prime Plus,Yeshwanthpur,Kalyan Nagar,,,0,,0,,0,,,,,
2024-05-18,11:29:18,CNR7708162,Success,920457,Bike,Vidyaranyapura,Mahadevapura,2.94,14.92,0,,0,,0,,80,14.4,4.6,4.1
2024-05-06,08:54:40,CNR8767782,Success,806914,Prime Sedan,Gokula,JP Nagar,1.12,12.84,0,,0,,0,,380,9.9,4.5,4.5
2024-05-12,15:36:45,CNR2160743,Success,708609,Prime Sedan,Frazer Town,MG Road,6.42,12.58,0,,0,,0,,176,38.45,4.4,3.9
2024-05-15,10:59:29,CNR4350142,Success,559210,Prime SUV,Langford Town,Frazer Town,3.72,12.37,0,,0,,0,,269,37.43,3.5,4.8
2024-05-07,05:36:37,CNR5519550,Success,844175,Auto,Frazer Town,Hebbal,1.65,9.21,0,,0,,0,,507,42.09,3.1,4.7
2024-05-19,23:46:57,CNR8677023,Success,966031,Mini,Frazer Town,Vijayanagar,6.92,14.89,0,,0,,0,,252,27.07,3.7,3.5
2024-05-15,04:55:18,CNR4463916,Success,839957,Prime SUV,Gokula,Banashankari,7.64,7.22,0,,0,,0,,592,17.65,4.1,4.1
2024-05-03,11:54:22,CNR5458013,Success,157264,Bike,HSR Layout,Basavanagudi,5.23,7.7,0,,0,,0,,178,25.79,4,3.6
2024-05-18,16:34:42,CNR1109098,Success,371673,Prime Plus,Bannerghatta Road,Jalahalli,6.92,2.36,0,,0,,0,,456,4.13,3.3,4.5
2024-05-27,10:48:01,CNR3251410,Success,806549,eBike,Marathahalli,Yeshwanthpur,5.5,3.29,0,,0,,0,,113,33.42,4.7,4.9
2024-05-12,01:36:54,CNR6587533,Success,457023,Prime Sedan,Varthur,Kadugodi,5.39,5.46,0,,0,,0,,121,41.23,4.8,3.9
2024-05-22,18:59:48,CNR5016560,Success,987491,Prime SUV,Bannerghatta Road,Hebbal,9.02,5.42,0,,0,,0,,476,36.47,3.4,4.6
2024-05-18,02:47:29,CNR1214200,Success,508941,Prime Plus,Vidyaranyapura,Mathikere,4.75,14.58,0,,0,,0,,93,21.99,3.1,4.2
2024-05-11,14:18:52,CNR4076409,Success,609723,eBike,Sadashivanagar,MG Road,9.16,14.33,0,,0,,0,,170,3.14,3.7,4.5
2024-05-07,09:19:33,CNR4020628,Success,392306,Auto,Indiranagar,Cooke Town,4.77,8.19,0,,0,,0,,329,19.33,3.7,4.9
2024-05-25,09:28:39,CNR7075995,Success,752944,Mini,CV Raman Nagar,Whitefield,6.4,9.29,0,,0,,0,,498,40.1,3.6,4.8
2024-05-20,17:45:21,CNR6752673,Success,882179,eBike,HSR Layout,Bannerghatta Road,3.37,10.01,0,,0,,0,,517,15.17,3.8,4.1
2024-05-16,01:31:17,CNR7995726,Incomplete,500881,Prime Plus,Banashankari,MG Road,6.98,3.57,0,,0,,1,Customer Demand,699,41.93,5,4.2
2024-05-31,18:31:25,CNR9760863,Success,572236,Mini,Gokula,Bennigana Halli,1.52,8.83,0,,0,,0,,360,7.07,4.2,3.8
2024-05-12,12:55:46,CNR7367714,Success,987420,Mini,Malleshwaram,MG Road,1.14,5.92,0,,0,,0,,500,1.38,3.8,4.8
2024-05-12,22:39:07,CNR8156777,Cancelled by Driver,690655,Mini,Bannerghatta Road,Banashankari,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-19,22:51:38,CNR3069737,Cancelled by Driver,143476,eBike,Frazer Town,Brookefield,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-30,22:04:22,CNR7926172,Cancelled by Customer,913243,Mini,Vijayanagar,Mathikere,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-21,14:17:12,CNR7572458,Success,733408,Mini,Sanjay Nagar,Langford Town,7.31,8.95,0,,0,,0,,732,23.52,3.2,3.9
2024-05-14,08:40:09,CNR3680444,Cancelled by Driver,147995,Prime Sedan,Whitefield,Langford Town,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-04,11:02:06,CNR4622437,Cancelled by Driver,509263,Prime SUV,Basavanagudi,Bellandur,,,0,,1,Customer related issue,0,,,,,
2024-05-04,11:24:58,CNR3594465,Success,397381,Prime SUV,Langford Town,HSR Layout,8.72,6.12,0,,0,,0,,3518,38.02,3.3,4.4
2024-05-12,18:05:47,CNR3508930,Success,787713,Prime Sedan,Gokula,Rajajinagar,1.52,13.11,0,,0,,0,,351,23.26,3.4,4.5
2024-05-05,03:57:43,CNR6795092,Success,386791,Bike,RT Nagar,Kadugodi,9.72,4.25,0,,0,,0,,150,19.33,4.5,4.4
2024-05-28,02:07:39,CNR8440150,Success,581360,Prime SUV,Peenya,Sanjay Nagar,1.73,10.8,0,,0,,0,,586,16.05,4.9,3.9
2024-05-31,08:32:24,CNR9426936,Success,820200,Prime SUV,Sahakara Nagar,BTM Layout,7.03,12.77,0,,0,,0,,477,33.7,4.6,3.6
2024-05-12,18:30:36,CNR3621408,Cancelled by Customer,540910,Prime Sedan,Old Airport Road,Basavanagudi,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-28,14:23:58,CNR4479166,Success,571023,Auto,Bannerghatta Road,Indiranagar,2.83,13.83,0,,0,,0,,490,10.37,4.5,3.9
2024-05-20,17:00:06,CNR4960069,Cancelled by Customer,356353,Mini,Langford Town,Richmond Town,,,1,Wrong Address,0,,0,,,,,
2024-05-11,20:41:20,CNR9333926,Success,648043,Prime Sedan,Domlur,Hoodi,5.68,9.13,0,,0,,0,,240,42.06,4.8,4
2024-05-26,22:59:16,CNR8506045,Cancelled by Driver,667865,Bike,Basavanagudi,Brookefield,,,0,,1,Customer related issue,0,,,,,
2024-05-05,06:45:41,CNR7176247,Success,937059,Auto,Jalahalli,Hebbal,3.44,4.42,0,,0,,0,,433,26.54,4.5,4.4
2024-05-11,12:25:05,CNR7543625,Success,710554,Prime Plus,Bellandur,JP Nagar,3.03,13.3,0,,0,,0,,592,29.7,3.9,4.1
2024-05-06,00:54:57,CNR3761316,Success,645960,Prime SUV,JP Nagar,Brigade Road,5.06,14.13,0,,0,,0,,442,6.48,4.6,4.7
2024-05-21,00:58:57,CNR6137564,Incomplete,439987,Mini,Domlur,Vasanth Nagar,2.19,12.3,0,,0,,1,Customer Demand,473,32.49,4.3,4
2024-05-26,11:36:31,CNR2416404,Success,709866,eBike,JP Nagar,Marathahalli,1.96,8.15,0,,0,,0,,459,14.42,3.2,4.7
2024-05-24,02:14:29,CNR1792335,Success,419727,Auto,RT Nagar,Sanjay Nagar,6.47,9.35,0,,0,,0,,316,15.28,4.5,3.7
2024-05-26,08:18:15,CNR8905853,Cancelled by Driver,476207,Prime Sedan,Varthur,Bennigana Halli,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-26,17:08:38,CNR4342308,Success,159074,Bike,CV Raman Nagar,Peenya,1.24,5.17,0,,0,,0,,428,4.88,5,4.8
2024-05-21,04:48:36,CNR3102430,Success,765440,Prime Plus,BTM Layout,Vijayanagar,7.26,4.06,0,,0,,0,,494,16.85,4.4,4.2
2024-05-05,21:03:35,CNR4244760,Success,771483,Prime SUV,Kalyan Nagar,Mahadevapura,7.46,2.75,0,,0,,0,,517,15.23,3.6,3.8
2024-05-19,22:43:07,CNR3116064,Cancelled by Customer,626842,eBike,Sanjay Nagar,Sadashivanagar,,,1,Wrong Address,0,,0,,,,,
2024-05-14,13:50:43,CNR5813671,Incomplete,240501,Bike,Kadugodi,Indiranagar,1.8,9.03,0,,0,,1,Customer Demand,182,13.63,4.1,4.5
2024-05-02,01:55:37,CNR8340810,Success,942491,Mini,Bennigana Halli,Vasanth Nagar,2.27,9.25,0,,0,,0,,964,19.43,4.5,3.5
2024-05-07,08:02:33,CNR7003216,Success,571683,Auto,Vijayanagar,New BEL Road,4.92,14.83,0,,0,,0,,202,17.86,4,4.2
2024-05-04,21:57:29,CNR3004742,Cancelled by Driver,348801,Auto,Sarjapur Road,RT Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-26,02:51:37,CNR1866252,Incomplete,462828,Bike,MG Road,Brookefield,9.76,3.8,0,,0,,1,Other Issue,168,27.13,4.5,4.7
2024-05-28,04:41:43,CNR7514189,Cancelled by Driver,757829,Prime Sedan,JP Nagar,Hebbal,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-30,04:49:02,CNR9004056,Cancelled by Driver,502762,Bike,RT Nagar,Jayanagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-05,12:25:52,CNR6983818,Success,702922,Auto,Gokula,CV Raman Nagar,4.56,8.04,0,,0,,0,,66,32.83,3.2,3.9
2024-05-11,12:20:43,CNR1581544,Cancelled by System,340519,Prime Plus,Langford Town,Jalahalli,,,0,,0,,0,,,,,
2024-05-09,00:54:54,CNR3887351,Incomplete,158593,Prime Sedan,Hebbal,Gokula,4,11.27,0,,0,,1,Vehicle Breakdown,615,31.94,3.2,4.5
2024-05-05,05:55:30,CNR5896520,Cancelled by Customer,920462,Auto,JP Nagar,Richmond Town,,,1,Wrong Address,0,,0,,,,,
2024-05-24,23:39:23,CNR4035611,Success,704475,Prime Sedan,Vasanth Nagar,Mahadevapura,5.6,6.63,0,,0,,0,,978,5.68,4.4,4.5
2024-05-26,14:25:44,CNR5543753,Success,953811,Auto,Electronic City,Mathikere,3.51,3.47,0,,0,,0,,889,27.9,3.5,4.2
2024-05-04,06:46:37,CNR4137995,Success,321198,Prime SUV,Jayanagar,Yeshwanthpur,5.22,4.37,0,,0,,0,,123,15.53,4.6,4.8
2024-05-26,14:18:33,CNR6864153,Cancelled by Driver,174782,eBike,Gokula,Vijayanagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-20,19:31:58,CNR1197930,Cancelled by System,347708,Bike,Brigade Road,Sahakara Nagar,,,0,,0,,0,,,,,
2024-05-26,03:07:31,CNR9523789,Success,906315,Auto,Electronic City,Varthur,7.46,13.07,0,,0,,0,,558,6.53,4.2,4.2
2024-05-19,14:01:47,CNR9056866,Success,683446,Auto,Frazer Town,Varthur,3.02,9.49,0,,0,,0,,522,25.5,4.2,3.5
2024-05-29,13:50:44,CNR2424857,Cancelled by Customer,542945,Prime Plus,Marathahalli,Malleshwaram,,,1,Change of plans,0,,0,,,,,
2024-05-19,20:32:31,CNR9996554,Cancelled by Driver,869462,Bike,Koramangala,Sarjapur Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-15,09:43:03,CNR5979959,Success,411675,Bike,CV Raman Nagar,Brookefield,6.33,6.69,0,,0,,0,,885,40.55,3,4.8
2024-05-04,07:27:35,CNR4898243,Success,274348,Prime SUV,BTM Layout,Kammanahalli,5.61,14.84,0,,0,,0,,666,21.08,3.6,4.6
2024-05-12,04:20:46,CNR9852010,Incomplete,483315,Bike,Ulsoor,Whitefield,1.17,6.23,0,,0,,1,Other Issue,830,35.27,4.4,3.8
2024-05-10,02:20:38,CNR6753821,Success,937962,eBike,Bannerghatta Road,Yeshwanthpur,6.41,11.09,0,,0,,0,,166,32.87,4.6,4.7
2024-05-29,19:42:15,CNR6438175,Success,946223,Prime Sedan,JP Nagar,Langford Town,1.53,3.78,0,,0,,0,,193,7.78,4.5,4
2024-05-25,09:46:22,CNR3154491,Cancelled by Driver,870814,Prime SUV,Sarjapur Road,Kammanahalli,,,0,,1,More than permitted people in there,0,,,,,
2024-05-12,03:47:10,CNR8019380,Cancelled by Driver,147951,Prime Plus,Vijayanagar,Kadugodi,,,0,,1,More than permitted people in there,0,,,,,
2024-05-26,03:06:30,CNR8236271,Success,718663,eBike,Cooke Town,Old Airport Road,2.9,7.37,0,,0,,0,,2079,29.99,3.1,4.9
2024-05-28,08:10:32,CNR4486048,Success,682559,Prime SUV,Sahakara Nagar,MG Road,4.64,4.98,0,,0,,0,,862,17.69,4.1,4.1
2024-05-23,17:16:13,CNR6645858,Cancelled by Driver,816592,Mini,Jayanagar,Jalahalli,,,0,,1,Customer related issue,0,,,,,
2024-05-08,00:11:54,CNR4448904,Cancelled by System,246999,Prime SUV,Banashankari,Bennigana Halli,,,0,,0,,0,,,,,
2024-05-12,16:52:31,CNR1710268,Success,667583,eBike,Vasanth Nagar,Rajajinagar,4.87,13.58,0,,0,,0,,337,24.38,3.7,4.3
2024-05-26,12:38:09,CNR2306467,Incomplete,717233,Prime Plus,Kammanahalli,Basavanagudi,9.81,8.92,0,,0,,1,Vehicle Breakdown,812,1.18,4.6,3.5
2024-05-01,14:34:04,CNR3525725,Success,859622,Prime Sedan,Vasanth Nagar,Bellandur,2.93,14.77,0,,0,,0,,100,41.11,3.8,4.7
2024-05-06,00:03:08,CNR9804219,Success,507496,eBike,Jayanagar,Koramangala,7.12,4.07,0,,0,,0,,493,28.11,3.5,3.7
2024-05-31,17:10:05,CNR8989443,Success,845079,eBike,Peenya,Jalahalli,3.5,11.82,0,,0,,0,,536,21.39,4,4.6
2024-05-01,13:50:44,CNR6024524,Cancelled by Driver,724595,Auto,HSR Layout,Domlur,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-06,00:27:30,CNR6945971,Cancelled by Customer,354559,Mini,Langford Town,Varthur,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-12,04:35:12,CNR8378978,Success,835297,Prime Plus,Sadashivanagar,JP Nagar,8.68,9.08,0,,0,,0,,255,40.06,3.3,3.9
2024-05-18,15:21:33,CNR5904498,Cancelled by Driver,590620,Prime Sedan,Basavanagudi,Mathikere,,,0,,1,More than permitted people in there,0,,,,,
2024-05-10,12:56:56,CNR9335303,Cancelled by System,153184,Bike,HSR Layout,Bellandur,,,0,,0,,0,,,,,
2024-05-08,02:39:51,CNR1408680,Cancelled by Driver,992147,Prime Sedan,Mathikere,Mahadevapura,,,0,,1,More than permitted people in there,0,,,,,
2024-05-18,15:08:38,CNR2854626,Success,932845,Auto,Whitefield,Brookefield,4.69,6.64,0,,0,,0,,214,25.38,4.3,4.9
2024-05-09,14:05:41,CNR5739009,Cancelled by Driver,574993,eBike,Kammanahalli,Mahadevapura,,,0,,1,More than permitted people in there,0,,,,,
2024-05-08,20:29:03,CNR8133949,Cancelled by Driver,586331,Prime SUV,BTM Layout,Brookefield,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-12,06:13:05,CNR6248395,Success,581776,Auto,Basavanagudi,Rajajinagar,5.73,3.22,0,,0,,0,,392,11.24,3.3,4.4
2024-05-19,11:59:49,CNR4544397,Success,789545,Mini,Vasanth Nagar,Yelahanka,7.34,13.93,0,,0,,0,,482,34.08,3,4.8
2024-05-15,04:57:34,CNR1270665,Success,312348,Prime Plus,Brigade Road,Marathahalli,4.47,9.68,0,,0,,0,,384,17.24,3.5,4.1
2024-05-31,03:32:07,CNR2366621,Cancelled by Driver,860309,Prime Sedan,Mahadevapura,Indiranagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-22,09:21:01,CNR5903107,Incomplete,787374,Prime Plus,Mathikere,Commercial Street,2.61,11.56,0,,0,,1,Customer Demand,97,27.3,3.3,4
2024-05-01,01:45:43,CNR3916108,Cancelled by Driver,322082,Auto,Sahakara Nagar,JP Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-22,01:30:29,CNR7425538,Success,885610,Mini,Varthur,Malleshwaram,8.36,5.64,0,,0,,0,,338,44.04,3.8,3.6
2024-05-25,13:12:05,CNR3133062,Success,698573,Prime Sedan,Yelahanka,Yeshwanthpur,6.49,8.92,0,,0,,0,,2589,12.18,3.2,4.3
2024-05-31,01:04:57,CNR1801425,Success,745212,Auto,Marathahalli,Richmond Town,7.26,11.38,0,,0,,0,,57,7.14,3.2,3.9
2024-05-30,06:01:12,CNR1114047,Success,923538,Bike,Koramangala,RT Nagar,7.01,14.98,0,,0,,0,,392,38.06,3.9,3.8
2024-05-20,01:02:28,CNR3237606,Success,621157,eBike,Kammanahalli,Hoodi,6.72,4.03,0,,0,,0,,563,29.07,4,3.7
2024-05-03,01:09:21,CNR2926275,Cancelled by Driver,845683,eBike,Bennigana Halli,Sanjay Nagar,,,0,,1,Customer related issue,0,,,,,
2024-05-18,15:00:38,CNR7038436,Incomplete,802747,eBike,Sarjapur Road,HSR Layout,4.28,8.89,0,,0,,1,Other Issue,1167,37.31,4.8,4
2024-05-25,20:15:13,CNR2021475,Success,951160,Prime Sedan,Sarjapur Road,BTM Layout,7.6,7.79,0,,0,,0,,400,37.56,4.1,4.1
2024-05-18,07:46:58,CNR8700225,Cancelled by Driver,406747,Prime Plus,Sarjapur Road,Jayanagar,,,0,,1,Customer related issue,0,,,,,
2024-05-18,21:14:13,CNR6024949,Cancelled by Driver,250997,Auto,Cooke Town,Jayanagar,,,0,,1,Customer related issue,0,,,,,
2024-05-15,06:00:03,CNR2890639,Success,900165,Prime Sedan,Electronic City,Sarjapur Road,9.82,13.32,0,,0,,0,,398,20.25,3.4,3.9
2024-05-19,11:51:25,CNR5227963,Success,961354,Prime Sedan,Brookefield,Vidyaranyapura,5.49,5.22,0,,0,,0,,519,39.67,3.9,4.5
2024-05-28,14:25:12,CNR6965744,Incomplete,552841,eBike,Indiranagar,Brigade Road,9.45,12.26,0,,0,,1,Other Issue,405,27.46,4.4,5
2024-05-05,06:35:52,CNR9053277,Incomplete,237429,Prime Plus,Mahadevapura,Commercial Street,2.17,12.48,0,,0,,1,Vehicle Breakdown,556,21.5,3.1,3.6
2024-05-05,21:13:19,CNR7182837,Success,695041,Mini,Brookefield,Marathahalli,7.03,8.57,0,,0,,0,,522,5.14,4.6,4.9
2024-05-27,13:59:34,CNR9641867,Success,856050,Prime Plus,HSR Layout,Rajajinagar,4.54,9.53,0,,0,,0,,894,27.08,4.8,4.8
2024-05-05,19:01:38,CNR3105777,Success,873459,Bike,Domlur,Electronic City,9.93,8.54,0,,0,,0,,979,26.24,4.8,4.6
2024-05-14,02:41:00,CNR3194041,Success,721216,eBike,Indiranagar,Kammanahalli,6.83,3.47,0,,0,,0,,115,30.24,3.1,3.8
2024-05-19,01:52:07,CNR5007437,Cancelled by System,860788,eBike,Kammanahalli,Banashankari,,,0,,0,,0,,,,,
2024-05-20,02:41:56,CNR9637070,Cancelled by Driver,951482,Prime Plus,Kammanahalli,Bellandur,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-11,09:10:07,CNR6836195,Success,310190,Auto,Domlur,Mathikere,1.38,11.12,0,,0,,0,,936,3.54,3.4,3.8
2024-05-28,23:19:56,CNR6171979,Success,792542,eBike,CV Raman Nagar,Old Airport Road,1.16,5.91,0,,0,,0,,97,29.85,4.7,4.5
2024-05-16,08:00:40,CNR8049869,Success,272873,Auto,Peenya,Mathikere,3.55,11.59,0,,0,,0,,269,28.27,4.4,4.9
2024-05-19,09:56:06,CNR5227148,Cancelled by Driver,903136,Prime SUV,Jayanagar,HSR Layout,,,0,,1,Customer related issue,0,,,,,
2024-05-25,04:05:35,CNR6944110,Success,300374,Prime Plus,Sahakara Nagar,MG Road,4.16,12.14,0,,0,,0,,504,13.07,3.7,4.9
2024-05-09,16:34:23,CNR9322459,Success,459749,Auto,Bennigana Halli,Brigade Road,2.75,10.31,0,,0,,0,,147,35.63,4.6,4.6
2024-05-26,23:14:00,CNR1768903,Success,347510,Auto,Basavanagudi,Hebbal,2.16,11.29,0,,0,,0,,1065,11.92,3,4.1
2024-05-08,14:27:30,CNR9338053,Success,322925,Mini,Cooke Town,Indiranagar,5.15,3.17,0,,0,,0,,563,44.93,4.6,4.2
2024-05-12,18:05:09,CNR5600260,Success,393333,Prime Sedan,Hebbal,Rajajinagar,4.38,2.53,0,,0,,0,,253,19.37,4.4,4
2024-05-03,17:31:56,CNR8549174,Success,663247,Prime Plus,Sahakara Nagar,Brigade Road,5.88,12.78,0,,0,,0,,2501,42.21,3.5,5
2024-05-12,16:58:41,CNR1586959,Success,826693,Prime Plus,Langford Town,Malleshwaram,1.78,8.79,0,,0,,0,,256,42.24,3.4,3.9
2024-05-06,08:29:20,CNR1759351,Cancelled by Driver,986603,Bike,Varthur,Basavanagudi,,,0,,1,Customer related issue,0,,,,,
2024-05-24,21:39:40,CNR4028456,Incomplete,821876,Prime SUV,Richmond Town,Ulsoor,6.66,13.4,0,,0,,1,Customer Demand,327,21.2,3.1,3.8
2024-05-11,11:01:17,CNR5569194,Cancelled by Driver,199103,Prime Plus,CV Raman Nagar,Vasanth Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-05,17:24:01,CNR8340800,Success,865370,Auto,Jalahalli,Gokula,9.09,7.29,0,,0,,0,,566,32.43,3.7,4.5
2024-05-17,17:04:53,CNR9526974,Cancelled by Customer,847642,Mini,Cooke Town,HSR Layout,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-16,09:58:42,CNR3341402,Incomplete,322206,Bike,Peenya,Electronic City,9.4,14.11,0,,0,,1,Other Issue,498,24.21,4,3.8
2024-05-31,13:37:47,CNR7603162,Cancelled by Driver,997868,Mini,Electronic City,Sahakara Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-31,15:45:35,CNR5596799,Success,664625,Auto,Mathikere,Cooke Town,4.19,12.94,0,,0,,0,,371,43.7,4.2,3.9
2024-05-15,07:40:58,CNR8273170,Success,696305,Prime Plus,Langford Town,Yeshwanthpur,8.09,14.73,0,,0,,0,,145,2.77,4,3.7
2024-05-04,02:19:24,CNR9696750,Success,534676,Bike,Hoodi,Yelahanka,4.37,12.5,0,,0,,0,,228,7.52,4.9,4.7
2024-05-25,00:04:48,CNR7271233,Success,875809,Bike,Brookefield,Brigade Road,1.46,10.34,0,,0,,0,,579,27.34,4,3.9
2024-05-31,10:39:54,CNR5900428,Cancelled by Customer,392775,Auto,Koramangala,MG Road,,,1,Change of plans,0,,0,,,,,
2024-05-12,11:54:47,CNR4248861,Cancelled by System,604309,Mini,Hoodi,Sarjapur Road,,,0,,0,,0,,,,,
2024-05-12,22:12:49,CNR4847422,Success,732267,Prime SUV,BTM Layout,Hebbal,8.06,8.55,0,,0,,0,,211,34.8,4.6,4.8
2024-05-19,19:22:17,CNR6053346,Cancelled by Customer,912748,Bike,Kadugodi,Bellandur,,,1,Change of plans,0,,0,,,,,
2024-05-17,07:00:04,CNR6654996,Success,301028,Auto,Kalyan Nagar,Vijayanagar,7.27,11.57,0,,0,,0,,521,40.89,4.6,4.5
